key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8394964329415265,1.0976389690761044,0.6632168890111402,0.6928520114942529,0.6777106317194858
20.0,0.8250379693720641,1.0766453366671909,0.6621174524400331,0.6953143849828692,0.6783099917617983
30.0,0.814063883138388,1.0603499848518234,0.6602801695462927,0.6912484578342023,0.6754095173285374
40.0,0.8077355822811019,1.0504479376830782,0.6586376630186573,0.6889608436399667,0.6734580926355115
50.0,0.8016273966032934,1.0419365244721166,0.6586042452389116,0.6904890283156054,0.6741698506010257
60.0,0.7961927242977174,1.0347783920310003,0.6578986039676709,0.6902985074626866,0.6737092381081365
70.0,0.7919767698146993,1.0289063839828807,0.6585618065453732,0.6917973107862134,0.6747705568202969
80.0,0.7883634498006062,1.0232804162445377,0.6577592018336255,0.6912058485994814,0.6740678820871704
90.0,0.7859822786710052,1.019590132216505,0.6566503428011753,0.6915079419652066,0.6736285082724898
100.0,0.7833440159982415,1.016168997554951,0.657025161150878,0.6923963288001608,0.6742471687281456
