key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8500949699081308,1.1036820742149858,0.6471064477476602,0.6741792907992847,0.6603655110876103
20.0,0.834229608102185,1.082392361053634,0.6483339304908635,0.6769072502396484,0.6623125579054525
30.0,0.8244029875820476,1.0708596604682008,0.6483535136358493,0.6758212593626516,0.6618025007459885
40.0,0.8137674420633682,1.0559641060840415,0.6490002368305309,0.6753925779874657,0.6619334357045497
50.0,0.8071408723543438,1.0457972101553652,0.6500994344664719,0.6768412028275181,0.6632008558861988
60.0,0.8029505593418103,1.0395269078440328,0.6505036583041305,0.6761926535589087,0.6630994462338673
70.0,0.8005756366929383,1.035434442852978,0.6502331312395861,0.6758597604459257,0.6627988296581746
80.0,0.7957905878826956,1.0286417441086007,0.6517900534586101,0.6767587569908751,0.6640397747199471
90.0,0.791527758086845,1.022273973234991,0.6527628438803074,0.6785110674953658,0.6653879569605027
100.0,0.7883132933870739,1.0178411347734302,0.6524913539131548,0.6783949713007231,0.665191075940689
