key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8523446035075564,1.1076099020124324,0.647411801220816,0.6758955895589559,0.6613471429577961
20.0,0.8393995512968531,1.0891975171320973,0.6462077620705169,0.6766507153306389,0.6610789467309416
30.0,0.8272610068289182,1.0743689128376248,0.6484610682808526,0.6771257978175829,0.6624835074078177
40.0,0.818044071560463,1.0611894007142828,0.6486567321733316,0.6747744285217518,0.6614578661260517
50.0,0.8099673017781,1.0496726970192427,0.6496118787644539,0.674836464624496,0.6619839661270073
60.0,0.8058641355930336,1.0429301619514595,0.6513869761951603,0.6758840525092645,0.6634094464523785
70.0,0.8023820707173326,1.037854677439763,0.6518586718839913,0.6762581338427557,0.6638342758357996
80.0,0.7991253583837966,1.0328621232995503,0.6516582108741031,0.6758957888246849,0.6635557432432432
90.0,0.7947572660712399,1.0275293119030808,0.6516352360968177,0.6771290483862008,0.6641375787502128
100.0,0.7917176622423928,1.023184896862389,0.6522797381197204,0.6789134999661316,0.6653301824168238
