key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8086532082874804,1.0877879175841323,0.6773399014778325,0.6004366812227074,0.6365740740740741
20.0,0.7901052191107518,1.0584985289553788,0.6793650793650794,0.5887207702888583,0.6308032424465734
30.0,0.773012781064297,1.033685699418038,0.698595146871009,0.5776135163674763,0.6323699421965318
40.0,0.760250724838222,1.011016873533308,0.703788748564868,0.5634191176470589,0.6258295048494129
50.0,0.7661557777204486,1.019387226446475,0.7034700315457413,0.5598326359832636,0.6234855545200373
60.0,0.7675676078568887,1.0238666472317859,0.7038123167155426,0.557707203718048,0.6222990492653414
70.0,0.7573303033846059,1.0125278718141741,0.7142857142857143,0.5620014503263234,0.6290584415584416
80.0,0.7560138161179979,1.0043622851074276,0.7142857142857143,0.5617585484996511,0.62890625
90.0,0.7589629627811078,1.0088505442756377,0.7189655172413794,0.5574866310160428,0.628012048192771
100.0,0.7556190567411776,1.002858182224136,0.7191201353637902,0.5508749189889826,0.6238532110091743
