key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8788866038936072,1.1447972449552046,0.6556266465939029,0.6133802816901408,0.6338002546843733
20.0,0.8530121544154424,1.1018691083889849,0.6601053507069586,0.6160413971539457,0.6373126338329764
30.0,0.8458402982275037,1.089885702300054,0.6596508012437216,0.623699683401176,0.6411716842961758
40.0,0.838151653163517,1.0760167736793305,0.6606711998245229,0.6290726817042607,0.6444848614528726
50.0,0.8361436653935821,1.072037792742084,0.6598001223740567,0.6313427010148321,0.6452578039293906
60.0,0.8376433273932002,1.070970408570541,0.6499808208668968,0.6259697081640192,0.6377493413624389
70.0,0.835656316877254,1.0689218676806658,0.6485540615214588,0.6269586894586895,0.6375735626980534
80.0,0.8344312598318785,1.06591504139947,0.6471323923530463,0.6245904466287291,0.6356616356616356
90.0,0.8333413637213266,1.0638860568849262,0.648177219605791,0.6256945613739687,0.636737491432488
100.0,0.8281641327269698,1.0569428193174693,0.6486070757135532,0.6258245382585752,0.6370121695342005
