key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8428585332460663,1.0945231227952368,0.6654929577464789,0.5415472779369628,0.5971563981042654
20.0,0.8298834707924581,1.0730815314991389,0.6623655913978495,0.5301204819277109,0.5889101338432122
30.0,0.797849544776158,1.0327643385702745,0.664983164983165,0.5245683930942895,0.5864884929472903
40.0,0.7878473222245377,1.0274749255032436,0.6809453471196455,0.5280641466208477,0.5948387096774194
50.0,0.7778994226826765,1.0188535414762763,0.6918918918918919,0.5245901639344263,0.5967365967365966
60.0,0.7723084394209027,1.014388553132948,0.6939546599496221,0.5232668566001899,0.5966432051976177
70.0,0.7775908826617315,1.0224221769284112,0.690951821386604,0.5153374233128835,0.5903614457831325
80.0,0.7823841345597371,1.0274323301901522,0.6958473625140292,0.5111294311624073,0.5893536121673003
90.0,0.7795781851801867,1.0260051588273005,0.6995841995841996,0.5176923076923077,0.5950486295313882
100.0,0.7834709315706814,1.0337003028874454,0.7038152610441767,0.518491124260355,0.5971039182282795
