key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.9651404757312058,1.2409418288181868,0.6367165834719911,0.6042105263157894,0.6200378071833648
20.0,0.9308666197907007,1.1957426837605452,0.6452289409297448,0.6157438292194797,0.6301416623997269
30.0,0.8996311817283587,1.1525830585670935,0.638714946909883,0.6256,0.6320894517041626
40.0,0.8818410265598068,1.1318985116460027,0.6417332365044783,0.6224465837050951,0.6319427890345649
50.0,0.8725263252037999,1.1184683126634551,0.6392531673705267,0.6191603875134554,0.6290463692038495
60.0,0.8633852585163595,1.105275716642253,0.6371272574548509,0.6194365046957943,0.6281573498964803
70.0,0.8569631313516625,1.0970297183982567,0.6396897991648439,0.6280749707145646,0.633829179391193
80.0,0.8508501066213154,1.0885071072799375,0.6393063583815028,0.6248587570621469,0.632
90.0,0.8409252526652958,1.0770777123790372,0.6436760007517384,0.6272893772893773,0.6353770522215008
100.0,0.8341657066781438,1.067632094336167,0.6441515650741351,0.6276083467094703,0.6357723577235772
