key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8176075227754163,1.0792771028801593,0.6640625,0.6159420289855072,0.6390977443609022
20.0,0.8050734974385234,1.065392365852717,0.6840277777777778,0.5660919540229885,0.6194968553459119
30.0,0.7976340297296565,1.0594815061921248,0.6961852861035422,0.5596933187294633,0.620522161505768
40.0,0.7801205013166148,1.04415073533904,0.6925795053003534,0.5541941564561734,0.6157068062827226
50.0,0.7752159619367709,1.0295713515309421,0.7005291005291006,0.560067681895093,0.6224729666196521
60.0,0.7693695461663492,1.0218996578493909,0.7084548104956269,0.5704225352112676,0.6319895968790638
70.0,0.7696284701794581,1.0241001147672515,0.7061567164179104,0.5590841949778435,0.6240725474031327
80.0,0.7674850491608631,1.020486414467891,0.709502262443439,0.5564229950319376,0.6237072394590295
90.0,0.771362319717245,1.02693194987589,0.7137931034482758,0.5651877133105802,0.6308571428571429
100.0,0.7679103286037483,1.0187414219994764,0.7086481947942905,0.5559947299077734,0.6231081579918789
