key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,1.019951748831305,1.3037094338716686,0.5887270121805589,0.6224747474747475,0.6051307229655087
20.0,1.0053497998639287,1.2825779227843377,0.5959680806383872,0.618839947666812,0.6071887034659821
30.0,0.9895867345742044,1.2663541238351208,0.6035361255477428,0.6226018396846255,0.6129207523738067
40.0,0.9719855229725128,1.2449194743354381,0.6079658488063661,0.6231520815632965,0.6154653016698834
50.0,0.9603145441962296,1.2302140749222183,0.6122041031036297,0.6288544668587897,0.6204175921812528
60.0,0.9497077286569957,1.2174904014265153,0.6152162520422948,0.6321908261530664,0.6235880450575719
70.0,0.9411334146864665,1.2081138475691993,0.6188251554941258,0.6371605851881369,0.6278590360263081
80.0,0.9322662657667635,1.1966613146900849,0.6205146245853854,0.6396083713220058,0.6299168409775011
90.0,0.9229960593587937,1.1854409141800706,0.623599545359653,0.644870349492672,0.634056603773585
100.0,0.9146943858125194,1.1766042303820277,0.6263510592304367,0.6477610605620263,0.6368761745667154
