key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,1.0033482039109018,1.2702633284036973,0.625615763546798,0.562302340290955,0.5922718187874749
20.0,0.9633421674999997,1.2239534812564785,0.6235595390524968,0.5848678943154524,0.603594298698616
30.0,0.9338184044172371,1.1886134133265571,0.6399361022364217,0.5993417115499701,0.6189740420271941
40.0,0.9167994992783224,1.1676516281886924,0.6326969615488034,0.6001020147921449,0.6159685863874345
50.0,0.8961474838546343,1.1449825367636475,0.6324157570004746,0.6109582760201743,0.6215018656716418
60.0,0.8801573286272089,1.1241593574320712,0.6340879407923379,0.6171610169491526,0.6255099849688641
70.0,0.8727908578175184,1.115288107972409,0.6325337633541624,0.6218787158145065,0.6271609873088837
80.0,0.868684403178814,1.1112719670727484,0.6325786646201075,0.6221928665785997,0.6273427837503568
90.0,0.8634882801544435,1.1047945169328708,0.6333766474846854,0.6204764502636843,0.6268601873966562
100.0,0.8558907757220949,1.0945339984860645,0.6327298799067933,0.6216977809087707,0.6271653193568446
