key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8466063924889249,1.1016982471908603,0.6520469893078221,0.6834150477384155,0.6673626235173418
20.0,0.8347412084412082,1.0852592032667128,0.6526248490445408,0.6861090365944735,0.6689481923763061
30.0,0.8210492252031599,1.0691223406709958,0.6534508649101937,0.6860705583652409,0.6693635382955772
40.0,0.8145462730403161,1.0587350295571092,0.6540233045749837,0.6837906312328177,0.6685757956412126
50.0,0.8088529903868867,1.049868972589646,0.6536589220799747,0.6835415840275023,0.6682663564238046
60.0,0.8048259574984178,1.043518176238606,0.6533737770244149,0.6829654958035437,0.6678419988753287
70.0,0.8010185045805107,1.0377919504930324,0.6535770546244128,0.6826813323648439,0.6678122417018316
80.0,0.7980949605333091,1.0336228173576367,0.6532355195445089,0.6826477487270439,0.6676178486501608
90.0,0.7943074744279665,1.0286912809236186,0.6541626363142482,0.6838758830863001,0.6686893450450023
100.0,0.7908702857576553,1.0244102857813226,0.6542475071500348,0.6853256322366468,0.6694260631146028
