key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8157963356734012,1.0998897419675955,0.6807980049875312,0.5986842105263158,0.6371061843640607
20.0,0.7794176178039998,1.0435866347516463,0.6762820512820513,0.5935302390998594,0.6322097378277154
30.0,0.7737403478842303,1.0374259681432938,0.6997422680412371,0.5876623376623377,0.6388235294117647
40.0,0.7613091524236312,1.0158213808654701,0.701254275940707,0.5736940298507462,0.6310928681375064
50.0,0.7604861083687875,1.015824374277569,0.7019027484143763,0.5622353937341237,0.624353549600376
60.0,0.7625531152990642,1.0218069598358561,0.7046332046332047,0.568978955572876,0.6295817162570072
70.0,0.7613124554019991,1.0200432327892055,0.7067039106145251,0.5589101620029455,0.6241776315789475
80.0,0.7612222322128775,1.0129994893286378,0.7055103884372177,0.55,0.6181242580134547
90.0,0.7562710020644463,1.0054015337991222,0.703442188879082,0.544771018455229,0.6140215716486903
100.0,0.7586926670319679,1.0052263861224178,0.7068965517241379,0.5391190006574622,0.6117120477433794
