key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8681185008465487,1.1096098408127826,0.6282894736842105,0.5350140056022409,0.5779122541603631
20.0,0.8548150719628087,1.107658617237657,0.6401869158878505,0.5229007633587787,0.5756302521008404
30.0,0.851137761042509,1.105892401066821,0.654,0.5165876777251185,0.5772285966460724
40.0,0.8402547240173328,1.0952544524488528,0.6714801444043321,0.5145228215767634,0.5826155050900548
50.0,0.8362883390100181,1.0942809932918631,0.6780238500851788,0.5135483870967742,0.5844346549192364
60.0,0.8294511289052232,1.0854323478840804,0.6882067851373183,0.5144927536231884,0.588804422944022
70.0,0.8269509641700964,1.0836441029715744,0.6912225705329154,0.511600928074246,0.588
80.0,0.8271376968997999,1.0861337954737134,0.6893353941267388,0.5073947667804323,0.584534731323722
90.0,0.8299708491870292,1.0899090997786112,0.6905487804878049,0.5072788353863382,0.5848934796642996
100.0,0.828184382306641,1.0868295265441739,0.6918429003021148,0.5055187637969095,0.5841836734693878
