key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.9931888726033025,1.2679795867572892,0.6016675931072818,0.622999884885461,0.6121479470648116
20.0,0.9663146470900932,1.2440746955507611,0.6274546242953603,0.6379668703155508,0.6326670830730794
30.0,0.9461895269336298,1.222605298633778,0.6357067324638703,0.6531166538409306,0.6442941031995892
40.0,0.931009105141845,1.2069134548266853,0.642193918055987,0.6604074968053386,0.6511733720665698
50.0,0.9123104417257571,1.1847439230919967,0.6502919958777053,0.670642418516769,0.660310447067031
60.0,0.8995274288695732,1.1696248283525637,0.6529995042141795,0.6760079041240024,0.6643045380609531
70.0,0.8903952925525006,1.1587460921142878,0.6542769066997849,0.6794721205002419,0.6666365382442662
80.0,0.8800533155015071,1.1466436570450418,0.654433329315817,0.6798622704507512,0.666905488116927
90.0,0.8731411503203969,1.1358564971198692,0.6546388883735599,0.6824810459538914,0.6682700957322903
100.0,0.8633626489720657,1.1237733892338848,0.6551468560397132,0.6857611951069895,0.6701045468168757
