key_0,MAE,RMSE,Precision,Recall,F1_score
10.0,0.8380239696784542,1.0856949161522071,0.6554054054054054,0.5480225988700564,0.5969230769230768
20.0,0.832709274934539,1.0796835829927223,0.6659340659340659,0.5420393559928444,0.5976331360946745
30.0,0.7959771661581665,1.0307885232187366,0.6694915254237288,0.538881309686221,0.5971277399848829
40.0,0.7855684818004802,1.0269363329866514,0.6809453471196455,0.5379229871645275,0.6010430247718385
50.0,0.7878929747291721,1.033286206600069,0.6895161290322581,0.5294117647058824,0.5989492119089317
60.0,0.778792167793499,1.0210702157861675,0.6952141057934509,0.5242165242165242,0.5977260422306443
70.0,0.7822064343018464,1.0286595854157854,0.6982456140350877,0.5259911894273128,0.6
80.0,0.7825387507041416,1.0274049908280025,0.7016574585635359,0.5269709543568465,0.6018957345971564
90.0,0.7847670520037098,1.0332758064912748,0.7018633540372671,0.5239567233384853,0.6
100.0,0.7826482144951515,1.0315091600912862,0.7027027027027027,0.5203854707190512,0.5979557069846678
